iter	RMSE
0	15.18456183
1	15.08750816
2	14.98600562
3	14.90003383
4	14.81380041
5	14.72860553
6	14.63893417
7	14.55181808
8	14.46962135
9	14.38104769
10	14.29037138
11	14.20350476
12	14.13050366
13	14.05693666
14	13.97443834
15	13.88505957
16	13.82081913
17	13.73670783
18	13.64875216
19	13.5706143
20	13.48615931
21	13.40240544
22	13.32740867
23	13.24916373
24	13.177212
25	13.10032412
26	13.02555896
27	12.9475769
28	12.87907587
29	12.80283416
30	12.723091
31	12.65668993
32	12.58140745
33	12.51831644
34	12.45310419
35	12.38656073
36	12.31188956
37	12.24267003
38	12.16699088
39	12.10004033
40	12.03180256
41	11.96298332
42	11.89276727
43	11.82949209
44	11.76715163
45	11.70546904
46	11.64418624
47	11.58548446
48	11.52098431
49	11.45807312
