iter	Passed	Remaining
0	1	188
1	3	171
2	5	188
3	7	175
4	8	168
5	10	166
6	12	163
7	13	158
8	15	154
9	17	156
10	19	155
11	21	154
12	22	150
13	24	150
14	26	147
15	27	144
16	28	141
17	30	140
18	32	138
19	33	135
20	35	133
21	37	132
22	38	129
23	40	127
24	41	124
25	43	124
26	45	122
27	46	120
28	48	117
29	50	117
30	51	115
31	53	113
32	54	111
33	56	109
34	58	107
35	59	106
36	61	103
37	62	102
38	64	100
39	65	98
40	67	97
41	68	93
42	69	92
43	71	90
44	72	88
45	73	86
46	75	85
47	76	83
48	78	81
49	80	80
50	81	78
51	83	77
52	84	75
53	86	73
54	88	72
55	89	70
56	91	68
57	92	66
58	93	65
59	95	63
60	97	62
61	98	60
62	100	58
63	101	57
64	103	55
65	104	54
66	106	52
67	108	51
68	110	49
69	112	48
70	113	46
71	115	44
72	116	43
73	118	41
74	119	39
75	121	38
76	122	36
77	124	35
78	125	33
79	127	31
80	129	30
81	131	28
82	132	27
83	134	25
84	135	23
85	137	22
86	138	20
87	140	19
88	142	17
89	143	15
90	145	14
91	147	12
92	149	11
93	150	9
94	152	8
95	154	6
96	155	4
97	156	3
98	159	1
99	160	0
